2021-07-26 09:40:10.981 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - Starting StratifiedArchitectureProjectApplication on DESKTOP-AS0U2EB with PID 4608 (H:\小绿的前后端分离项目\分层架构\StratifiedArchitecture\stratified-architecture-project\start\target\classes started by heji-01 in H:\小绿的前后端分离项目\分层架构\StratifiedArchitecture\stratified-architecture-project)
2021-07-26 09:40:10.983 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - No active profile set, falling back to default profiles: default
2021-07-26 09:40:11.990 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2021-07-26 09:40:11.999 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2021-07-26 09:40:12.000 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-26 09:40:12.000 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-07-26 09:40:12.081 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-26 09:40:12.081 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1015 ms
2021-07-26 09:40:12.181 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Starting...
2021-07-26 09:40:12.444 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Start completed.
2021-07-26 09:40:12.793 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-26 09:40:12.851 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2021-07-26 09:40:12.997 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2021-07-26 09:40:13.016 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2021-07-26 09:40:13.024 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - Started StratifiedArchitectureProjectApplication in 2.406 seconds (JVM running for 2.95)
2021-07-26 09:56:23.927 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - Starting StratifiedArchitectureProjectApplication on DESKTOP-AS0U2EB with PID 2428 (H:\小绿的前后端分离项目\分层架构\StratifiedArchitecture\stratified-architecture-project\start\target\classes started by heji-01 in H:\小绿的前后端分离项目\分层架构\StratifiedArchitecture\stratified-architecture-project)
2021-07-26 09:56:23.929 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - No active profile set, falling back to default profiles: default
2021-07-26 09:56:24.890 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2021-07-26 09:56:24.897 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2021-07-26 09:56:24.898 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-26 09:56:24.898 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-07-26 09:56:24.964 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-26 09:56:24.964 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 951 ms
2021-07-26 09:56:25.051 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Starting...
2021-07-26 09:56:25.266 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Start completed.
2021-07-26 09:56:25.581 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-26 09:56:25.633 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2021-07-26 09:56:25.760 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2021-07-26 09:56:25.776 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2021-07-26 09:56:25.785 [main] INFO  c.x.s.StratifiedArchitectureProjectApplication - Started StratifiedArchitectureProjectApplication in 2.307 seconds (JVM running for 2.888)
